mine,notes,upload_date,title,url,duration,views,presenter_in_desc,mentions_jeff,description_snippet
,,2022-07-08,"Multilingual Headless WordPress with Next JS, WPGraphQL &  Polylang plugin",https://www.youtube.com/watch?v=sd02yF4_T_o,27:36,4504,,,Blog Post: https://developers.wpengine.com/blog/multilingual-headlesswordpress-with-nextjs-wpgraphql-polylang Github: https://github.com/Fran-A-Dev/nextjs-polylangwpgql Headless WordPress resources: h…
,,2022-07-15,Headless WordPress with Remix and Tailwind CSS,https://www.youtube.com/watch?v=4jT7iKdqoW4,19:35,1849,,,"In this tutorial, we'll look at how to use the Remix framework and Tailwind CSS with headless WordPress. GitHub Repo: https://github.com/JEverhart383/remixing-wordpress Blog Post: https://developers.w…"
,,2022-07-22,Introducing Fran and Jeff,https://www.youtube.com/watch?v=FKzEIPdEFRk,46:30,74,,yes,"In this episode, we get things up and running for Season 3, with just a few changes. First, we've rebranded the podcast slightly by changing the name. Second, we have new co-hosts for the show. In thi…"
,,2022-08-08,"Next.js 12.2, Open Source, and Community Building with Lee Robinson",https://www.youtube.com/watch?v=-0HVMcyrCiw,54:59,153,,yes,"In this episode, Fran and Jeff talk with Lee Robinson, the VP of Developer Experience at Vercel. We take a look at some new or now stable features in Next.js, like middleware, the image component, and…"
,,2022-08-17,What are Contextual Block Patterns in WordPress?,https://www.youtube.com/watch?v=fW4xhwjfyeY,16:12,1663,Nick Diego,,"Take block patterns to the next level by making them ""contextual"" in part one of our three-part series on advanced patterns in WordPress. WP Engine Builders article on contextual patterns: https://wpe…"
,,2022-08-19,GraphQL at the Edge with Stellate,https://www.youtube.com/watch?v=H1B18hUHlGY,52:47,298,,yes,"In this episode, Jeff and Fran talk with Max Stoiber and Thomas Heyenbrock of Stellate, an innovative company working in the GraphQL space. Some of this episode's highlights include: learning more abo…"
,,2022-08-25,Center a button using the Buttons Block in the WordPerss editor,https://www.youtube.com/watch?v=fmT1aX0sAfM,0:51,1727,Damon Cook,,"The Buttons block in the WordPress editor helps prompt visitors to take action. For example, you can use it to link to other pages on your website, an external page, or your social media accounts. The…"
,,2022-08-31,Build a WooCommerce landing page with blocks,https://www.youtube.com/watch?v=z_-ItH4mu-Y,27:06,2532,,,We'll walk you through how to create a landing page with WooCommerce blocks and the Frost theme. We'll cover: - How to create a new front page template for your home page. - How to create and use Grou…
,,2022-09-12,Alexa Spalato and Gatsby WP Themes,https://www.youtube.com/watch?v=XFt9eOXjiaY,52:31,114,,yes,"In this episode, Fran and Jeff talk with Alexa Spalato, the co-founder of Gatsby WP Themes, a company focused on building out Gatsby themes made to work with headless WordPress. We learn how Alexa got…"
,,2022-09-14,WordPress Navigation block enhancements for the overlay menu in the upcoming WordPress 6.1 release,https://www.youtube.com/watch?v=xi-2dyqPPnU,0:58,1058,,,The site editor is getting to be a robust solution and the upcoming WordPress 6.1 (late October) release will allow builders to choose from a variety of icons for their Navigation block's overlay menu…
,,2022-09-16,Sitemaps in Headless WordPress with Next.js,https://www.youtube.com/watch?v=DIalv-oyc7U,24:21,1350,,,Blog Post: https://developers.wpengine.com/blog/sitemaps-in-headless-wordpress-with-next-js Github: https://github.com/Fran-A-Dev/sitemap-headlesswp https://github.com/dipankarmaikap/wp-sitemap-rest-a…
,,2022-09-18,What are Page Creation Patterns in WordPress?,https://www.youtube.com/watch?v=8vp_SMA25X4,12:26,595,Nick Diego,,"Learn how to build ""page creation"" patterns and improve the user experience within WordPress. This video is part two of our three-part series on advanced patterns in WordPress. Part 2: WP Engine Build…"
,,2022-09-19,Unlocking the Block Locking API in WordPress,https://www.youtube.com/watch?v=dyd0mGPZyeI,14:50,2041,Nick Diego,,Learn how curate the editing experience in WordPress using block locking API. This functionality allows you to effortlessly restrict the removal or movement of blocks in the Editor. WP Engine Builders…
,,2022-09-20,Choosing and using fonts in a WordPress theme,https://www.youtube.com/watch?v=yKKd4NNHVOo,11:02,591,,,There is no question that typography is a critical design choice when creating a WordPress theme. What goes into deciding which font(s) to use? Where might you get your fonts? How do you hook your fon…
,,2022-09-26,Atlas Platform Features: Deployment Previews & Webhooks,https://www.youtube.com/watch?v=0v07WnJsJ0E,16:30,216,,,Blog Post: https://developers.wpengine.com/blog/atlas-platform-features-deployment-previews-webhooks Headless WordPress resources: https://developers.wpengine.com Atlas Headless WP Hosting Platform: h…
,,2022-09-26,Google Analytics with Matt Landers,https://www.youtube.com/watch?v=k5ibA0_9VZk,55:37,191,,yes,"In this episode, Fran and Jeff catch up with Matt Landers, the former manager of WP Engine's Dev Rel team, and discuss his new role in developer relations at Google Analytics. We take a deep dive into…"
,,2022-09-28,What are Semantic Patterns in WordPress?,https://www.youtube.com/watch?v=-6uU8knHrCM,11:38,628,Nick Diego,,"Learn how to build ""semantic"" patterns and improve the user experience within WordPress. This video is part three of our three-part series on advanced patterns in WordPress. Part 3: WP Engine Builders…"
,,2022-09-30,"How to test WordPress beta releases with Local Blueprints, WP-CLI, or the WP Beta Tester plugin.",https://www.youtube.com/watch?v=z17wO-cMLxs,2:39,828,,,"Start testing the latest WordPress beta quickly with Local, Local Blueprints, WP-CLI, or the WordPress Beta Tester plugin. Install Local: https://localwp.com/ Download Local Blueprint: https://wpeng.i…"
,,2022-09-30,Exploring Block Variations in WordPress,https://www.youtube.com/watch?v=wQEFO0GPFBc,24:44,4153,Nick Diego,,"In this video, we explore block variations and demonstrate just how powerful they can be. Variations are a fundamental part of modern WordPress website development. In fact, many WordPress Core blocks…"
,,2022-10-06,Cloudinary with Colby Fayock,https://www.youtube.com/watch?v=31fKkIi4Ubw,52:20,113,,yes,"In this episode, Fran and Jeff catch up with Colby Fayock, a previous guest and a Senior Developer Experience Engineer at Cloudinary. This episode touches on how Cloudinary can help developers offload…"
,,2022-10-20,The Future of Faust with Chris Wiegman,https://www.youtube.com/watch?v=_lDeN2qAJJI,50:39,115,,yes,"In this episode, Fran and Jeff talk with Chris Wiegman, the Engineering Manager of the team working on WP Engine's Faust framework. During this quarter, the Faust framework has undergone a massive ove…"
,,2022-11-01,Headless WordPress 101,https://www.youtube.com/watch?v=biIFQL4H3ik,56:13,5991,,,"In this session, we’ll explore the key concepts around headless architecture in general, and dive into some of the specific technologies used in delivering headless WordPress. We hope to answer a few …"
,,2022-11-03,Best Headless eCommerce Platforms for WordPress,https://www.youtube.com/watch?v=-xLjXsoaW6I,9:04,1186,,,"In this video, we look at some of the more popular eCommerce platforms that offer headless capabilities and why companies are pursuing headless eCommerce patterns that include WordPress as a CMS. You …"
,,2022-11-04,The Astro Framework with Fred Schott,https://www.youtube.com/watch?v=5oyiK2eLybE,55:49,251,,yes,"In this episode, Fran and Jeff talk to Fred Schott, the co-creator of the Astro framework. Astro is a newer JavaScript framework that focuses on creating super fast content-focused sites. There is a t…"
,,2022-11-10,Astro Headless WordPress Starter Demo,https://www.youtube.com/watch?v=BcoxZZIfESI,9:18,11814,,,This video is a quick overview of an Astro project I've been working on. GitHub Repo https://github.com/JEverhart383/astro-wordpress-starter Headless WordPress resources: https://developers.wpengine.c…
,,2022-11-10,3 Ways to Curate the Editor Experience in WordPress,https://www.youtube.com/watch?v=V_DsHlNGWW0,22:55,672,Nick Diego,,"WordPress is a powerful content editing platform, but in certain situations, it can be overwhelming and provide users with too much flexibility. In this video, I show you my three favorite ways to loc…"
,,2022-11-14,The Future of Faust.js,https://www.youtube.com/watch?v=NcSNcEOJTfc,55:32,1127,,,"In this session, we’ll view a demo of the newest version of the Faust.js framework delivered by the software development team working on the project. Since the last version, Faust has changed a lot un…"
,,2022-11-14,Yoast SEO in Headless WordPress with WPGraphQL and Next.js,https://www.youtube.com/watch?v=0pMrogXE8Q4,12:30,1690,,,"In this video, I will give a walk-through tutorial on managing Search Engine Optimization (SEO) in a headless WordPress architecture with Yoast, WPGraphQL, and Next.js. Blog Post: https://developers.w…"
,,2022-11-17,Build Mode Workshop (Nov. 2022) - Build an accordion block,https://www.youtube.com/watch?v=RpFyr6Y_syM,56:36,1479,,,Learn how to get up and running and build your first custom WordPress block. We'll cover the following: ✔ Setting up a simple WordPress plugin and scaffolding a custom block with @wordpress/create-blo…
,,2022-11-18,Branched deploys to WP Engine with GitHub Actions,https://www.youtube.com/watch?v=VfB18iyKiVc,8:43,4984,,,"Learn to take your @LocalWP site, put it under Git version control, push it to GitHub, and set up GitHub actions to trigger deployments to @WPEngine Original post: https://wpengine.com/builders/branch…"
,,2022-11-18,WPGraphQL Smart Cache with Next.js and Apollo,https://www.youtube.com/watch?v=f_IICYPb9-I,25:08,897,,,Blog Post: https://developers.wpengine.com/blog/wpgraphql-smart-cache-with-next-js-and-apollo WPGraphQL Smart Cache Docs: https://github.com/wp-graphql/wp-graphql-smart-cache Headless WordPress resour…
,,2022-11-18,"Exploring Layout, Alignment, and Dimension in WordPress",https://www.youtube.com/watch?v=hG1tJxgv9Ls,40:36,5939,Nick Diego,,"In this tutorial, we’ll explore (nearly) everything you need to know about positioning blocks in WordPress, with a special focus on the new features in WordPress 6.1. From layout and alignment to vert…"
,,2022-11-21,The JAMstack with Salma Alam-Naylor,https://www.youtube.com/watch?v=aYg7XvOffHg,1:02:03,117,,yes,"In this episode, Jeff and Fran chat with Salma Alam-Naylor, a Staff Developer Experience Engineer at Netlify, about the state of the JAMstack ecosystem. We kick off the discussion by exploring the val…"
,,2022-11-30,Responsive WordPress: An Overview of Fluid Spacing/Typography,https://www.youtube.com/watch?v=iIMu3dcX94I,6:57,1291,Brian Gardner,,This overview will explore how to use the fluid spacing and typography features included in the Frost theme to establish an optimal responsive WordPress website experience. Resources: An Introduction …
,,2022-12-02,Designing with Column Blocks in WordPress,https://www.youtube.com/watch?v=UMMHst9_z70,33:28,12124,Nick Diego,,"In this tutorial, we’ll explore the Columns block in WordPress and showcase a variety of ways you can use this block type to design sophisticated layouts. You’ll also learn to apply custom CSS classes…"
,,2022-12-02,Using Composer to manage plugins and deploy to WP Engine,https://www.youtube.com/watch?v=CJqIRgqRfXU,8:38,2573,,,Learn how you can use Composer to manage your WordPress plugin dependencies and deploy them to GitHub and WP Engine. Original post: https://github.com/colorful-tones/wpe-deploy-composer Be sure to che…
,,2022-12-05,Gatsby and the Modular Web with Sam Bhagwat,https://www.youtube.com/watch?v=MTi7WqtpNOo,59:36,88,,yes,"In this episode, Fran and Jeff talk with Sam Bhagwat, the co-founder and Cheif Strategy Officer at Gatsby Cloud, about the modular web and Sam’s new book. The group spends some time talking about Gats…"
,,2022-12-05,Atlas for Headless WordPress: Bring Your Own Frontend Framework,https://www.youtube.com/watch?v=agLMxTqPFl0,1:01:55,2952,,,"In this session, we’ll take a look at the Atlas hosting platform and its features. Since WP Engine has invested so much time and energy into making it easy to get started with Faust.js blueprints, man…"
,,2022-12-06,Quick Review: The WordPress Buttons Block,https://www.youtube.com/watch?v=0YGxOxkybvE,5:33,744,Brian Gardner,,This overview will explore the Buttons block in WordPress and showcase various styles and methods of use. Resources: Frost WordPress Theme: Button Style Guide https://frostwp.com/style-guide/buttons/ …
,,2022-12-15,Building Your First Headless WordPress Project with ACF PRO and WPGraphQL,https://www.youtube.com/watch?v=pH5k3R6JYGc,1:12:42,7811,,,Building API-driven WordPress experiences can empower developers to deliver new and exciting experiences for their clients and expand their offerings. While some developers make the choice to go fully…
,,2022-12-16,Esports Publishing at Dexertos with Rob Humar,https://www.youtube.com/watch?v=N5ZuppbKEag,54:26,181,,yes,"In this podcast episode, Fran and Jeff talk with Rob Humar, the head of web development at Dexertos, the world's largest esports publishing platform. As a media company, Dexertos does around 60 millio…"
,,2022-12-20,Build an Accordion Block with ACF PRO,https://www.youtube.com/watch?v=qIJTTCKVCNk,35:29,6120,,,"Accordions can be an excellent way to group related information while allowing users to toggle (show and hide) their content interactively. However, there are some considerations to keep in mind. We’l…"
,,2023-01-06,WPGraphQL Smart Cache with Jason Bahl,https://www.youtube.com/watch?v=HQWjLSCVH38,1:01:44,169,,yes,"In this episode, Fran and Jeff catch up with Jason Bahl, the creator of WPGraphQL to discuss a new caching extension for WPGraphQL. Jason is a figure in the headless WordPress ecosystem that likely ne…"
,,2023-01-11,Demo of WPGraphQL JWT Auth with Astro and Vue,https://www.youtube.com/watch?v=oYUqID-9KF0,5:19,2186,,,"In this quick video, I walk through a basic setup for authenticated content in headless WordPress using the WPGraphQL JWT extension, Astro, and Vue. WPGraphQL JWT Authentication https://github.com/wp-…"
,,2023-02-13,Headless eCommerce with WordPress and BigCommerce,https://www.youtube.com/watch?v=9z-R1qAFzJs,40:56,1646,,,"In this session, we’ll explore some of the key concepts around headless eCommerce using WordPress and BigCommerce. Headless eCommerce provides developers with a lot of flexibility in how they implemen…"
,,2023-02-16,REST API Performance with Jonny Harris,https://www.youtube.com/watch?v=9Tj4Wp5RcBo,1:12:49,171,,,Jonny Harris is a London-based WordPress developer specializing in large-scale WordPress projects and runs the Spacedmonkey consultancy. Jonny has been developing websites for over 10 years. He is mos…
,,2023-02-23,Making WordPress the Best Headless CMS: Supporting Content Creator Workflows in Faust.js,https://www.youtube.com/watch?v=tt0ZNbB8KCQ,58:40,1615,,,"One of the largest barriers for people considering adopting WordPress for their next headless project is that it isn’t made explicitly for headless. Without the right tools in place, this means that t…"
,,2023-03-06,"ACF Chat Friday – March 3, 2023: Custom Post Types & Taxonomies preview",https://www.youtube.com/watch?v=-3JfSsZsCis,41:18,2320,,,"In this session, Iain, Liam, and the team give a preview of the upcoming addition of being able to register custom post types and taxonomies directly within Advanced Custom Fields. This feature will b…"
,,2023-03-07,An Introduction: Frost v1.0 Theme for WordPress,https://www.youtube.com/watch?v=OU5liFJcvMs,1:00:46,3811,Brian Gardner,,"Frost is a minimally designed and powerful theme, enabling agencies to build stylish and sophisticated WordPress websites. WP Engine will release version 1.0 of the theme this month, emphasizing it as…"
,,2023-03-13,Headless WordPress and Nuxt 3 with Daniel Roe,https://www.youtube.com/watch?v=Whl-lfxH98U,1:38:25,6795,,yes,"Nuxt.JS v3 is stable, and it introduces a ton of features including Vue.js 3, TypeScript support, and the new Nitro server engine. Join Fran Agulto, Jeff Everhart, and Framework architect Daniel Roe a…"
,,2023-03-16,Exploring Nuxt 3 with Daniel Roe,https://www.youtube.com/watch?v=Fmw050sygNg,1:06:41,292,,,"Daniel Roe is on the framework team for Nuxt, a Vue-based full-stack framework. Some of our most popular content is on Nuxt and headless WordPress. A new version of Nuxt, Nuxt 3, reached a stable rele…"
,,2023-03-16,ACF: Custom Post Type & Taxonomy Preview along with a demonstration of Pattern Manager,https://www.youtube.com/watch?v=sz0-q1oovKs,45:19,14957,Damon Cook,,"We'll leverage the powerful new features of ACF to: - Create a custom post type: Recipes - Create a custom taxonomy: Recipe Types (e.g. breakfast, lunch, dinner) - Create custom fields for Cook & Prep…"
,,2023-03-21,"ACF Chat Friday – March 17, 2023: block context, new modal preview, and 6.1 beta updates",https://www.youtube.com/watch?v=Lpz6NpJZbm0,45:16,327,,,"The ACF team tests new time zones, discusses context in blocks, previews the upcoming modal for field type selection, and shows the latest ACF 6.1 Beta-1 updates. ACF Chat Fridays are open office hour…"
,,2023-03-31,"ACF Chat Friday – March 31, 2023: ACF 6.1 is almost here, ACF Blocks docs are getting updates",https://www.youtube.com/watch?v=hJxO6kWaQkA,43:18,313,,,Join the team for updates on the roadmap and ideas for the future of the ACF product. We'll chat about the upcoming ACF 6.1 release and ACF Blocks documentation updates that are in progress. ACF Chat …
,,2023-04-08,Image Optimization in Headless WP with Cloudinary,https://www.youtube.com/watch?v=64-fYmzSP00,45:08,418,,,Join Fran Agulto and guest Colby Fayock Sr. Dev Ex engineer and team to deep dive into how Cloudinary’s plugin can offload the complexity of optimizing images on your headless WordPress sites. Cloudin…
,,2023-04-10,Working with the Apollo Client in Faust.js,https://www.youtube.com/watch?v=LLU9xpoR9Sg,18:22,469,,,"In this tutorial, we'll look at how to use the Apollo Client in Faust.js Github Repo: https://github.com/Fran-A-Dev/faust-paginate-test Pagination Fields Extension for WPGraphQL: https://github.com/ke…"
,,2023-04-11,How (and Why) to Build a Base WordPress Theme,https://www.youtube.com/watch?v=OUmx3IPyLOw,1:02:19,3218,Brian Gardner,,"Navigating the ever-evolving landscape of WordPress and theme infrastructure can be daunting, especially when creating a custom theme from scratch. Eliminate the hassle and confusion by joining Brian …"
,,2023-04-14,Cloudflare with Kirk Schwenkler,https://www.youtube.com/watch?v=lhhcm6DozYs,58:37,251,,,"Kirk Schwenkler is a Solutions Architect for the Developer Platform at Cloudflare. Lots of our architecture at WP Engine uses Cloudflare in different ways, as I’m sure many other tech companies do as …"
,,2023-04-17,"ACF Chat Friday – April 14, 2023: ACF Extended, reusable blocks performance, and WPGraphQL for ACF",https://www.youtube.com/watch?v=jd8u_yOiaW0,45:45,414,,,"Join the ACF community in this replay where we discuss reusable blocks performance, WPGraphQL for ACF and ACF Extended plugin. ACF Chat Fridays are open office hours with the ACF team and users, featu…"
,,2023-05-01,Exploring Headless Login for WPGraphQL with David Levine of AxePress,https://www.youtube.com/watch?v=RnJZ8VRjtBk,1:55:33,1203,,,"A tech stack is only as good as its community, and headless WordPress has many heroes we want to recognize. In this first community-focused event, David Levine from AxePress, a boutique web developmen…"
,,2023-05-01,"ACF Chat Friday – April 28, 2023: 1st Annual ACF Survey coming soon, ACF for Post Titles, ChatGPT",https://www.youtube.com/watch?v=HNFKG6liNi0,41:12,191,,,"Join the ACF community in this replay where we discuss our shared love of ACF Extended, using ChatGPT to generate docs or blocks, ACF Options pages, and so much more. ACF Chat Fridays are open office …"
,,2023-05-09,What is WP Engine Smart Search?,https://www.youtube.com/watch?v=q3DI9ZXowAY,7:33,731,Grace Erixon,,**NOTE**: WP Engine Smart Search was formerly known as Atlas Search. Headless WordPress sites that use the native REST API or WPGraphQL to perform searches without any other performance optimizations …
,,2023-05-10,WordPress Blocks: Building Sections That Drive Conversion,https://www.youtube.com/watch?v=Tm-RnFf_ino,1:01:11,574,Brian Gardner,,"In the increasingly competitive digital landscape, small businesses must optimize their websites to an unprecedented degree. As a result, calls to action have become more crucial than ever for driving…"
,,2023-05-12,Data Modeling in Headless WordPress with the New WPGraphQL and ACF,https://www.youtube.com/watch?v=WyYxhkR5rOM,1:02:20,2274,,,"Many people using WordPress as a headless CMS have specific data needs that go beyond default posts and pages. What if I need to store and reuse data across my sites about team members, recipes, or ev…"
,,2023-05-15,"ACF Chat Friday – May 12, 2023: Flexible Content field in ACF Blocks, build tools with ACF Blocks",https://www.youtube.com/watch?v=egf-6m9mOgo,35:37,360,,,"Using the Flexible Content field within ACF Blocks, using build tools with support for multiple entry-points for ACF Blocks, and some more goodies in this week's replay. ACF Chat Fridays are open offi…"
,,2023-05-16,How to Build an Author Box with WordPress Blocks,https://www.youtube.com/watch?v=Qkla4aOR-tQ,10:31,2094,Brian Gardner,,"An author box section on a website is a small area that provides information about the author of a blog post. It usually includes the author’s name, a photo, a brief description of their background, a…"
,,2023-05-16,How to Create a Testimonial Block with ACF Blocks,https://www.youtube.com/watch?v=x93CeSgBl8U,59:23,7310,Damon Cook,,"We'll demonstrate how you can create a testimonial block using ACF Blocks. There are many ways to WordPress, and we'll show you four different examples to achieve the same block output. We’ll touch on…"
,,2023-05-16,How to Build a Notification Bar with WordPress Blocks,https://www.youtube.com/watch?v=U3qkvbBswDM,11:28,948,Brian Gardner,,"A header notification bar is a small, attention-grabbing strip at the top of a website designed to display important messages or announcements. It is easily noticeable and can be customized to blend s…"
,,2023-05-16,How to Build a Newsletter Signup with WordPress Blocks,https://www.youtube.com/watch?v=F1HI0SfbZYg,7:28,2599,Brian Gardner,,A newsletter signup section on a website is an area where visitors can enter their email addresses to subscribe to your newsletter. This section typically includes a form or input field for email addr…
,,2023-05-16,How to Build a Product Box with WordPress Blocks,https://www.youtube.com/watch?v=5hZxBmq4CFk,9:22,1740,Brian Gardner,,"A product box section on a website is a dedicated area that showcases a specific product or service. It usually includes an image of the product, a brief description, key features, pricing information…"
