mine,notes,upload_date,title,url,duration,views,tab,format_guess,other_people,mentions_jeff,description_snippet
yes,,2024-03-21,Introducing SlackKit,https://www.youtube.com/watch?v=xsw24iuUTLg,10:30,739,videos,solo/demo,,,"Slack powers collaboration for over 700,000 businesses, so if you’re looking for ways to provide value to your app’s users, a Slack integration is something worth considering. SlackKit is a collection…"
yes,,2024-04-09,Introducing our new command menu (cmd+k),https://www.youtube.com/watch?v=pIEgr0GfP2E,1:53,234,videos,solo/demo,,,Introducing our new command menu (cmd+k) We've added a new way to navigate across the Knock dashboard and perform common actions through our new command menu. The command menu gives you a quick and ea…
yes,confirmed mine,2024-04-09,Building a Notion-style activity feed with Next.js and shadcn/ui,https://www.youtube.com/watch?v=V-65frts9X0,30:15,1165,videos,solo/demo,,,"In this video, we’ll look at how to build an entirely custom in-app feed experience inspired by Notion using Knock’s JavaScript client. The example app is built using Next.js and shadcn/ui, and you ca…"
yes,,2024-04-10,Announcing send windows,https://www.youtube.com/watch?v=J8dEd6T03vU,1:53,56,videos,solo/demo,,,"We're excited to announce our newest addition to the Knock workflow engine: send windows. With send windows, you can tell any channel step in your workflow when it should execute and send a message to…"
yes,,2024-04-11,Revert a commit,https://www.youtube.com/watch?v=jwJAR_Gw-Fo,1:38,46,videos,solo/demo,,,Today we’re expanding the capabilities of our commit system to include the ability to revert a specific commit. Reverting a commit makes it easy to undo a set of changes you already committed. Previou…
yes,,2024-04-19,Adding real-time toast notifications in Next.js,https://www.youtube.com/watch?v=U9uuW19i-u0,11:22,2727,videos,solo/demo,,,"For most developers toasts aren’t a new concept, but Knock’s real-time feed API allows you to bind toast notifications in your frontend application to events that are happening outside a user’s sessio…"
yes,,2024-04-26,How to send browser push notifications from a Node.js app,https://www.youtube.com/watch?v=0-bSQ14H_PY,15:05,10700,videos,solo/demo,,,"Learn how to send web push notifications using Node.js and the node-pushnotifications library. Set up a notification server, subscribe from the browser, and handle push events with a service worker. R…"
yes,,2024-04-29,"Send better transactional emails with Knock, part 1: send windows",https://www.youtube.com/watch?v=2qEj41jC-3c,0:29,104,shorts,solo/demo,,,This video covers how you can use send windows in Knock to send emails when your users are most likely to be using your application
yes,,2024-04-30,"Send better transactional email with Knock, part 2: step conditions",https://www.youtube.com/watch?v=Qehg_hxIgAY,0:38,79,shorts,solo/demo,,,"With step conditions, you can create detailed email sequences. If you add time delays between different email steps, you can check if the previous email was opened or a link was clicked to determine i…"
yes,,2024-04-30,How to send in-app notifications with Astro,https://www.youtube.com/watch?v=j7XvQjnowSA,15:32,721,videos,solo/demo,,,"In this video, you'll learn how to create an in-app notification feed in an Astro project using Knock. This tutorial covers setting up Knock workflows, using Knock's React components, and triggering n…"
yes,,2024-05-03,"Send better transactional emails with Knock, part 3: email batching",https://www.youtube.com/watch?v=dkB_mx8CJT4,0:30,519,shorts,solo/demo,,,"When you batch notifications of the same type, you can send your users fewer, higher-value emails. You can customize how long your batch step will stay open, and use batch keys to collect more targete…"
yes,,2024-05-10,"Sending better transactional email with Knock, part 4: user preferences",https://www.youtube.com/watch?v=15_JZjyv5YU,0:49,59,shorts,solo/demo,,,"Knock's preference model is a JSON like abstraction that allows you to define a user's preferences for receiving messages based on channel type, workflow, or workflow category. Every time a workflow h…"
yes,confirmed mine,2024-05-22,"Building an in-app notification feed with Nuxt, Vue, and Knock",https://www.youtube.com/watch?v=lMVnYHy8HdY,28:48,459,videos,solo/demo,,,"In this video, we’ll look at how to build an entirely custom in-app feed experience inspired by Notion using Knock’s JavaScript client and real-time feed API. The example app is built using Nuxt.js an…"
yes,,2024-05-28,Adding real-time toast notifications in Nuxt and Vue,https://www.youtube.com/watch?v=kU6Fea3QxEc,13:13,1023,videos,solo/demo,,,"For most developers toasts aren’t a new concept, but Knock’s real-time feed API allows you to bind toast notifications in your frontend application to events that are happening outside a user’s sessio…"
yes,,2024-05-30,Translations 2.0 demo,https://www.youtube.com/watch?v=8VAFqj5qqPI,5:06,281,videos,solo/demo,,,This video shows a quick demo of some of the new features we're brining to translations at Knock. You can now use a t tag in liquid to automatically generate a system translation file and then use the…
yes,,2024-06-07,Actionable in-app notifications,https://www.youtube.com/watch?v=OVSMjJMTqvk,3:20,159,videos,solo/demo,,,"Today we’re launching an enhancement to our in-app notifications to support more actionable types of messages, without needing to drop down into code. Previously, to add inline actions to your in-app …"
yes,,2024-06-10,Getting started with preferences in Knock,https://www.youtube.com/watch?v=FCQGquTJlL0,17:25,392,videos,solo/demo,,,User preferences are an important part of any notification system. They let users customize their product experience so that they only get alerts about things they care about on the channels that are …
yes,,2024-06-21,How to render tables in Slack markdown,https://www.youtube.com/watch?v=UhW4zZJOFtM,9:56,6594,videos,solo/demo,,,"If you’re watching this video, you probably came hoping to render a traditional markdown table in a message sent through Slack’s API. Sadly, Slack doesn’t support the traditional markdown table syntax…"
no,not Jeff - confirmed,2024-06-27,Knock Mobile Demo,https://www.youtube.com/watch?v=lPiTvyxzxbk,6:55,1343,videos,solo/demo,,,This video shows a quick demo of some of Knock Mobile: the complete toolkit to power notifications for mobile applications. Knock Mobile brings the power of our cross-channel workflow engine to any mo…
yes,confirmed mine,2024-07-17,Building customer-facing webhooks with Next.js and Knock,https://www.youtube.com/watch?v=tCf6HUgqiNM,26:17,608,videos,interview/guest,,,"Webhooks are a crucial component in the modern SaaS ecosystem, allowing customers to create integrations without you having to build them yourself. As you plan your own architecture, it’s important to…"
yes,,2024-08-01,How we balanced AWS Kinesis consumers with a hashring,https://www.youtube.com/watch?v=QyZDrVMpqp8,0:49,620,shorts,solo/demo,,,"At Knock, we use AWS Kinesis for high throughput queues, like API & workflow logging features. But we had a “hotspot” problem where too many Kinesis consumers would bind to a single Kubernetes pod dur…"
yes,,2024-08-12,How we hacked our Postgres driver to get better database insights,https://www.youtube.com/watch?v=8VEUf9cX4nQ,0:59,397,shorts,solo/demo,,,"💾 At Knock, we started to see increased database pressure from expensive transactions, but found that RDS Performance Insights didn’t give us the granularity we needed to address the issue. Let us exp…"
yes,,2024-08-14,Introducing Partials,https://www.youtube.com/watch?v=O52CZ1qu2x8,25:40,181,videos,interview/guest,,,"Today we’re proud to announce Partials. Partials are reusable pieces of content you can use across any of your channel templates. As your product grows, so does the number of notification templates yo…"
yes,confirmed mine,2024-09-09,Powering cross-channel configurable alerts with Knock,https://www.youtube.com/watch?v=Pnj864esV-w,21:52,136,videos,solo/demo,,,"Alerts are an essential feature in many applications. They draw user attention to specific events or states within your product, keeping them informed and helping them take action if necessary. Effect…"
yes,,2024-09-19,Building an inbox to simplify support | Thena.ai and Knock,https://www.youtube.com/watch?v=HlwE3zZceFQ,26:24,220,videos,interview/guest,Mike Molinet,yes,"In this video, Jeff Everhart and Mike Molinet, founder of Thena, discuss Thena’s new inbox feature, which is powered by Knock’s in-app messaging primitives. Thena consolidates support tickets across d…"
yes,,2024-10-28,How LinkedIn handles notification preferences,https://www.youtube.com/watch?v=KZibqt1fJVI,0:57,322,shorts,solo/demo,,,"LinkedIn is a massive platform, combining social media, messaging, and a job board. Learn how LinkedIn helps user navigate all the notifications the platform can generate using preferences. Providing …"
yes,,2024-10-31,Workflow builder V 3.0,https://www.youtube.com/watch?v=Ud_zO5nCRy4,25:51,2950,videos,interview/guest,,yes,"In this interview, Jeff Everhart and Kyle McDonald talk about Kyle's recent work on a new version of the workflow builder. Here are a few of the topics they discuss: - The challenges and benefits of i…"
yes,,2024-11-06,Build a throttle function with Redis Streams,https://www.youtube.com/watch?v=IJkDbRovrig,0:52,1061,shorts,solo/demo,,,"Throttles are useful in high volume notification scenarios because they can help limit the amount of messages received by a user regardless of how many events trigger them. In this video, Brent explai…"
yes,,2024-12-04,How EdApp 2x'd course completion rates with notifications,https://www.youtube.com/watch?v=VLSYNvn0vaM,1:09,33,videos,solo/demo,,,Learn how EdApp 2x’d course completion rates using Knock’s notification infrastructure. 📊 EdApp knew that notifications could help them increase course engagement 🗓️ But estimated it would take 6 mont…
yes,confirmed mine,2025-01-09,Building alerting features for devtools | Nullstone and Knock,https://www.youtube.com/watch?v=h3HHZHCSU5E,27:02,74,videos,interview/guest,Brad Sickles,yes,"In this video, Jeff Everhart and Brad Sickles, the founder and CEO of Nullstone, dig into some of the philosophies behind modern developer tools, like flexibility and promoting smooth workflows that m…"
yes,,2025-01-15,How Bounce scaled marketplace notifications with Knock to fuel 20x revenue growth,https://www.youtube.com/watch?v=ycX3rH40-EQ,2:11,57,shorts,solo/demo,,,"What do you do with luggage between a morning checkout and a late flight? That's exactly the problem Bounce solves. Through their marketplace app, travelers find and book secure locations to store the…"
yes,,2025-01-30,Introducing TeamsKit,https://www.youtube.com/watch?v=rXbKCa4g0kg,21:33,929,videos,interview/guest,Matt Mikolay,yes,"In this interview Jeff Everhart and Matt Mikolay talk about Matt's experience building TeamsKit, a set of React components and APIs that allow developers to create product integrations with MS Teams w…"
yes,,2025-02-19,Marketplace notifications with Knock and Next.js,https://www.youtube.com/watch?v=6h_mIWgjJFU,8:18,210,videos,solo/demo,,,"Learn how to build best-in-class marketplace notifications using Knock and Next.js. In this tutorial/demo, we'll add three essential notification patterns to a tour marketplace app: - coordinating buy…"
yes,,2025-03-04,Build an AI-powered CI/CD pipeline for translations with Lingo.dev,https://www.youtube.com/watch?v=qQgoGLsdbJY,8:05,582,videos,solo/demo,,,"Multilingual applications require translations across UI, marketing copy, and notifications in all messaging channels. AI-powered tools like Lingo.dev help streamline this process. This video will sho…"
yes,,2025-03-05,AI-powered CI/CD pipeline for translations with Lingo.dev,https://www.youtube.com/watch?v=p8Es7g11PNg,1:00,452,shorts,solo/demo,,,This video will show you how to generate translations via the command line and integrate them into CI/CD pipelines. Check out the linked video to build this in your own project.
yes,,2025-03-14,"Building a 'wrapped-style' product activity email | Next.js, Tinybird, Knock",https://www.youtube.com/watch?v=HI82nxDomEo,8:45,127,videos,solo/demo,,,"Wrapped-style emails turn user data into personalized stories, which is what makes year-in-review campaigns like Spotify’s so popular. Instead of talking about your product, you can transform data poi…"
yes,,2025-04-04,Batching strategies for high-volume product notifications,https://www.youtube.com/watch?v=rQXV7_DrAec,4:11,119,videos,solo/demo,,,"Many companies face challenges with notification systems due to notification fatigue and rising provider costs. The problem arises when each event triggers a notification, overwhelming users and infla…"
yes,,2025-04-10,Mentimeter launched notifications with Knock in just 2 weeks,https://www.youtube.com/watch?v=BzV2yLjqE3s,1:36,363,shorts,solo/demo,,,Mentimeter is transforming how the world presents ideas. Their engagement tool turns conventional presentations into interactive experiences and is used by more than 280 million people globally. Menti…
yes,,2025-04-16,"Send messages on any channel in 5 min with Knock | Email, In-app, Slack, SMS, Push, Teams",https://www.youtube.com/watch?v=bVFkX8MnI-g,4:52,1184,videos,solo/demo,,,"In this five-minute demo we show how to use Knock to power product and customer messaging across in-app, email, and Slack. With Knock, you can: - create cross-channel workflows using channels like ema…"
yes,,2025-04-21,How our throttling function works for high-volume messages,https://www.youtube.com/watch?v=bCvCSNzGo9s,4:01,68,videos,solo/demo,,,"🔔 High-volume events in your product, like usage-based billing alerts, system monitoring alerts, or frequent activity updates can be difficult to manage. Sending too many notifications leaves your use…"
no,launch week 2025 - not Jeff,2025-04-28,Introducing Knock MCP server | Knock launch week 2025,https://www.youtube.com/watch?v=SugU8YwdyQU,4:48,152,videos,solo/demo,,,"In this video, Chris Bell, co-founder and CTO of Knock, introduces Knock's MCP server. With the Knock MCP server, you can work with all of the Knock resources in your account using natural language in…"
no,launch week 2025 - not Jeff,2025-04-28,Introducing Knock Agent Toolkit | Knock launch week 2025,https://www.youtube.com/watch?v=SbLNmdIlkCE,6:17,319,videos,solo/demo,,,"In this video, Chris Bell, co-founder and CTO of Knock, introduces Knock's Agent Toolkit. With Agent Toolkit, you can expose the full power of Knock's cross-channel notification workflows to your AI a…"
no,launch week 2025 - not Jeff,2025-04-29,Introducing workflows 3.0 | Knock launch week 2025,https://www.youtube.com/watch?v=TX7V8nFTuJw,1:22,172,videos,solo/demo,,,"In this video, Kyle McDonald, product engineer at Knock, introduces Knock's updated template editor, which contains several helpful new features. This update combined with our workflow builder v3 upgr…"
no,launch week 2025 - not Jeff,2025-04-30,Introducing broadcasts | Knock launch week 2025,https://www.youtube.com/watch?v=7EcZcY1qADI,2:20,138,videos,solo/demo,,,"We're excited to announce broadcasts, a way to send one-time cross-channel messages in Knock. Whether you’re announcing a new feature, alerting users about system maintenance, or driving new feature a…"
no,launch week 2025 - not Jeff,2025-05-01,Introducing docs 2.0 and new SDKs | Knock launch week 2025,https://www.youtube.com/watch?v=Tn3QOuKzvTc,2:07,118,videos,solo/demo,,,"Today we’re announcing two significant upgrades to the Knock developer experience: 1. Our new documentation. 2. Our new SDKs for Node, Python, Go, Java, and Ruby. A brand new docs experience We first …"
no,launch week 2025 - not Jeff,2025-05-02,Introducing guides | Knock launch week 2025,https://www.youtube.com/watch?v=k0pfnmqTzRA,3:02,349,videos,solo/demo,,,"Guides enable you to power in-product messaging, everything from paywalls and badges, to one-time announcements and banners, using your own native components. With guides, your engineering team gets c…"
yes,,2025-06-03,"Get started with the Knock MCP server | Email, SMS, push, in-app, Slack",https://www.youtube.com/watch?v=6rIOkz9Kc20,10:24,190,videos,solo/demo,,,We're excited to introduce the Knock MCP server which will let you work with resources in your Knock account in AI tools like Cursor or Claude Desktop using natural language. This video covers how to …
yes,,2025-06-06,"Create notification workflows with Knock MCP Server | Email, SMS, push, in-app, Slack",https://www.youtube.com/watch?v=_H2afclrrNM,13:50,317,videos,solo/demo,,,With the Knock MCP server you can work with resources in your Knock account in AI tools like Cursor or Claude Desktop using natural language. This video covers how to get started use the Knock MCP ser…
yes,,2025-06-20,Search documentation with the Knock MCP server,https://www.youtube.com/watch?v=kQRjm9lkwPI,5:51,216,videos,solo/demo,,,Providing AI tools like Cursor or Claude desktop the right context can help you complete your tasks faster and more accurately. The Knock documentation provides several ways to integrate context into …
yes,,2025-07-02,Create email partials with the Knock MCP server,https://www.youtube.com/watch?v=B4dU9LQzcDQ,11:44,119,videos,solo/demo,,,"Developing modern, responsive emails is hard without the additional burden of making them reusable and compliant with your design system. Knock partials help you solve that by allowing you to create r…"
yes,,2025-08-11,Are your web push notifications ready for Chrome on Android spam filters?,https://www.youtube.com/watch?v=iaEknZe0F9c,1:38,109,shorts,solo/demo,,,"In May 2025, Chrome on Android introduced on-device spam filtering powered by AI. Make sure your notification content is ready: https://knock.app/blog/ultimate-guide-to-writing-effective-notifications"
yes,,2025-09-10,Adding a realtime inbox to Next.js in 7 minutes,https://www.youtube.com/watch?v=h2yBzQCTU7s,8:14,196,videos,solo/demo,,,"If your product sends too many emails or SMS messages, users will start to tune you out. In-app messages in feeds or inboxes can provide value while a user is actually inside your product. Knock provi…"
yes,,2025-10-07,Getting started with Knock Guides,https://www.youtube.com/watch?v=lKYfB3FYMtk,4:53,872,videos,solo/demo,,,"If you're using a legacy in-app vendor and a script tag to show your users in-app messages, there's a better way. Knock Guides allow you to dynamically power in-app messages like banners, feature anno…"
yes,,2026-01-06,Announcing Knock CLI 1.0 | Develop product messaging in your code base,https://www.youtube.com/watch?v=HKYu-u4pPs4,7:56,36,videos,solo/demo,,,"Since we launched our CLI back in May 2023, teams have used it to work with their Knock-powered notifications in code and to programmatically manage their messaging infrastructure, making Knock an ext…"
yes,,2026-03-12,Email API benchmarks launch video,https://www.youtube.com/watch?v=BJ4X390PQLE,3:19,84,videos,solo/demo,,,"Today we're releasing email API benchmarks, a real-time dashboard of email provider performance to help you compare and choose. The dashboard is powered by the billions of API requests Knock sends to …"
yes,,2026-04-09,"Introducing data sources | Send messages from events in Stripe, Supabase, Clerk, WorkOS, and PostHog",https://www.youtube.com/watch?v=Q0VSjeTJDp0,3:42,58,videos,solo/demo,,,"Today we're releasing data sources. With Knock data sources, you can connect events from any tool to your messaging infrastructure in a few clicks, no code required. When events occur in your other se…"
yes,,2026-04-15,In-app messaging your whole team can use | Introducing Knock Guides toolbar,https://www.youtube.com/watch?v=uhdZJhkm94s,4:03,19,videos,solo/demo,,,"Today we are introducing the guides toolbar, a floating debug panel you can open in your application to gain real-time visibility into your guides. What it solves Building in-app messages shouldn't re…"
yes,,2026-04-28,B2B SaaS notifications with Clerk and Knock data sources,https://www.youtube.com/watch?v=pcyKnlYS9i4,11:32,63,videos,interview/guest,,,"Use Clerk and Knock to power a multi-tenant B2B SaaS notification system: webhook-driven user and organization sync, an agent-generated welcome workflow, a notification preferences UI inside Clerk's u…"
yes,,2026-05-01,Sending in-app & email messages from Supabase database events,https://www.youtube.com/watch?v=JjVuTI6V_6k,14:14,91,videos,interview/guest,,,"Send notifications from any Supabase database event — not just auth events — using Knock's data sources. No serverless functions required. In this walkthrough, we connect Knock to Supabase with databa…"
no,outside date window,2026-07-02,"Building a blog bot that pitches, drafts, edits, and publishes from Slack",https://www.youtube.com/watch?v=-LJLnzoDzCI,10:51,10,videos,interview/guest,Jack Perales,,"Content teams lose time handoffs between ideation, drafting, editing, and publishing. In this session, Jack Perales walks through how WorkOS built a blog bot in Slack that covers the full workflow: pi…"
no,outside date window,2026-07-02,How Cursor Builds Cursor: Revenue Marketing Edition,https://www.youtube.com/watch?v=QSiGsXxND5Y,10:03,25,videos,solo/demo,,,
no,outside date window,2026-07-02,The Rise of the Marketing Engineer,https://www.youtube.com/watch?v=typFMMTQCGU,12:26,31,videos,interview/guest,Nick Lafferty,,"Marketing teams are hiring a new kind of practitioner: the marketing engineer. In this session, Nick Lafferty walks through how the role emerged, what marketing engineers actually build, and why more …"
no,outside date window,2026-07-02,Enabling growth/marketing teams to use AI,https://www.youtube.com/watch?v=XfcQSt7FhDM,8:29,18,videos,solo/demo,,,"Marketing engineers are not new. In the past, Ramp had built platforms for marketers. Marketers had a tool that let them spin up custom landing pages for each ad they ran, to increase conversion rates…"
no,outside date window,2026-07-02,How Vercel saved 200+ hours using mOperator,https://www.youtube.com/watch?v=3ZNY4yMpKIg,11:40,5,videos,interview/guest,Joe Reitz,,"Marketing operations teams spend hours each week jumping between tools, pulling reports, and running repetitive workflows. In this session, Joe Reitz walks through how Vercel's marketing operations te…"
no,outside date window,2026-07-29,5 ways founders are using AI to accelerate GTM,https://www.youtube.com/watch?v=-xr5wh57kfc,38:34,135,videos,interview/guest,,,"Most founders are using AI, but few are using it systematically across go-to-market. In this session, Austin Hay joins Knock to break down how founders are actually using AI to accelerate GTM today, f…"
no,outside date window,2026-08-26,Humans + agents: The next era of growth teams,https://www.youtube.com/watch?v=madYatzZpjY,37:51,522,videos,interview/guest,Matt Swulinski; Wispr Flow,,"AI is not just changing how marketers work. It is changing how growth teams are built. Join Matt Swulinski, Head of Growth at Viktor.com and formerly at Wispr Flow, for a conversation on building mode…"
